ลำดับ,อ้างอิงภายใน,ชื่อ,Sales Price,ปริมาณในมือ,กล่องขาออก,ปริมาณพยากรณ์,หน่วยวัด,Activity Exception Decoration
1,AA479,โปสเตอร์พีพี การปฐมพยาบาลเพื่อช่วยคนจมน้ำ ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
1,AA480,โปสเตอร์พีพี การปฐมพยาบาลเมื่อถูกไฟฟ้าดูด ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
1,AA482,โปสเตอร์พีพี การแปรงและรักษาฟันให้ถูกวิธี ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
1,AA483,โปสเตอร์พีพี ยาสามัญประจำบ้าน ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
1,AA481,โปสเตอร์พีพี โรคที่ยุงเป็นพาหนะ ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
1,AA467,โปสเตอร์พูดสอนคำศัพท์ 2 ภาษา 123,156,0,0,0,แผ่น,
1,AA465,โปสเตอร์พูดสอนคำศัพท์ 2 ภาษา ABC,156,0,0,0,แผ่น,
1,AA466,โปสเตอร์พูดสอนคำศัพท์ 2 ภาษา ก.ไก่,156,0,0,0,แผ่น,
1,AA469,โปสเตอร์พูดสอนคำศัพท์ 2 ภาษา ผลไม้,156,0,0,0,แผ่น,
1,AA468,โปสเตอร์พูดสอนคำศัพท์ 2 ภาษา ผัก,156,0,0,0,แผ่น,
1,AA470,โปสเตอร์พูดสอนคำศัพท์ 2 ภาษา สัตว์,156,0,0,0,แผ่น,
1,AA477,โปสเตอร์รัชกาลที่ 10 ขนาด 50 x 70 ซม.,95,0,0,0,แผ่น,
1,AA076,โปสเตอร์ล้างมือ พลาสติก,79,0,0,0,แผ่น,
1,CB457,โปสเตอร์สี 2 หน้า ขนาด 48 x 68 ซม.,8,0,0,0,แผ่น,
1,#FEQ0094,โปสเตอร์เหตุการณ์เสียกรุงครั้งที่ 1,25,0,0,0,เล่ม,
1,#FEQ0095,โปสเตอร์เหตุการณ์เสียกรุงครั้งที่ 2,25,0,0,0,เล่ม,
1,AA077,โปสเตอร์แปรงฟัน,15,0,0,0,แผ่น,
1,AA250,โปสเตอร์แผนภาพส่วนประกอบของคอมพิวเตอร์,212,0,0,0,ใบ,
1,AEC048,โปสเตอร์ไวนิลอาเซียน 10 ประเทศ,2600,0,0,0,ชุด,
1,#FEQ0075,โปเม่ สารพันเมนูสูตรลับจอมเวท ชั่วโมงที่ 1 เมนูไข่มหัศจรรย์,179,0,0,0,เล่ม,
1,#FEQ0076,โปเม่ สารพันเมนูสูตรลับจอมเวท ชั่วโมงที่ 2 โลกแห่งจินตนาการของหวานเย็น,179,0,0,0,เล่ม,
1,#FEQ0077,โปเม่ สารพันเมนูสูตรลับจอมเวท ชั่วโมงที่ 3 ศึกตัดสินเบเกอรี่แห่งคริตส์มาส กรุงเทพฯ,179,0,0,0,เล่ม,
1,#FEQ0078,โปเม่ สารพันเมนูสูตรลับจอมเวท ชั่วโมงที่ 5 วิญญาณจอมวุ่นกับคานาเป้แห่งวันวาน,179,0,0,0,เล่ม,
1,#FEQ0079,โปเม่ สารพันเมนูสูตรลับจอมเวท ชั่วโมงที่ 6 นานาเยลลี่หลากสีสันแห่งเทศกาลวันเด็ก,179,0,0,0,เล่ม,
1,#FEQ0066,โปเม่ แก๊งกุ๊กกรั่วครัวจอมเวท บทที่ 1 มหัศจรรย์ผลิตภัณฑ์นม,169,0,0,0,เล่ม,
1,#FEQ0067,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 10 ช็อกโกแลตคาร์นิวัลหรรษา,169,0,0,0,เล่ม,
1,#FEQ0068,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 2 รวมอาหารสารพัดเส้น,169,0,0,0,เล่ม,
1,#FEQ0069,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 3 เปิดตำรานานาเครื่องดื่ม,169,0,0,0,เล่ม,
1,#FEQ0070,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 4 ครบเครื่องเรื่องซุปๆ,169,0,0,0,เล่ม,
1,#FEQ0071,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 5 มหัศจรรย์เบอร์รี่หลากสีสัน,169,0,0,0,เล่ม,
1,#FEQ0072,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 6 รวมเรื่องเห็ดเด็ดสะระตี,169,0,0,0,เล่ม,
1,#FEQ0073,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 7 ดวงดาวลูกกวาดโปรยปราย,169,0,0,0,เล่ม,
1,#FEQ0074,โปเม่ แก๊งกุ๊กรั่วครัวจอมเวท บทที่ 9 ส้ม มะนาว หวานซ่อนเปรี้ยว,169,0,0,0,เล่ม,
1,#FEQ0085,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 2 จานที่ 1 ศึกประลองสุดยอดเมนูสลัด,179,0,0,0,เล่ม,
1,#FEQ0086,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 2 จานที่ 2 ขนมไทยแสนหวานแห่งเทศกาลโรงเรียน,179,0,0,0,เล่ม,
1,#FEQ0087,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 2 จานที่ 3 พิชซ่าพันหน้าร้อยมนตรากุ๊กเวทมนตร์,179,0,0,0,เล่ม,
1,#FEQ0088,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 2 จานที่ 4 ร่ายเวทสะเด็ดน้ำมันอัญเชิญสารพันของ,179,0,0,0,เล่ม,
1,#FEQ0089,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 2 จานที่ 5 อุ่นไอแพนเค้กร่ายเสกซอสหอมละมุน,179,0,0,0,เล่ม,
1,#FEQ0090,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 2 จานที่ 6 ร่ายมนต์ประกบขนมปังรังสรรค์สารพัน,179,0,0,0,เล่ม,
1,#FEQ0091,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 3 จานที่ 1 แซลมอนจานเด็ด อุดมโอเมก้า 3,179,0,0,0,เล่ม,
1,#FEQ0092,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 3 จานที่ 2 กีวี่วิตามินซีซู้งสูง,179,0,0,0,เล่ม,
1,#FEQ0093,โปเม่สารพันเมนูสูตรลับจอมเวท คอร์ส 3 จานที่ 5 เต้าหู้นุ่มนิ่ม อิ่มพร้อมโปรตีน,179,0,0,0,เล่ม,
1,#FEQ0080,โปเม่เทสตี้ คอร์ส 4 เล่ม 5 อาคมมื้อเวียดนาม สานสามัคคีกุ๊กเวทมนตร์,169,0,0,0,เล่ม,
1,#FEQ0081,โปเม่เทสตี้ คอร์ส 4 เล่ม 6 แม่มดขนมหวาน กับบททดสอบแห่งอาหารฯ,169,0,0,0,เล่ม,
1,#FEQ0082,โปเม่เทสตี้ คอร์ส 4 เล่ม 7 เผยต้นต่อคำสาปร้าย ในคำคืนอาหารรัสเซีย,169,0,0,0,เล่ม,
1,#FEQ0083,โปเม่เทสตี้ คอร์ส 4 เล่ม 8,169,0,0,0,เล่ม,
1,#FEQ0084,โปเม่เทสตี้ คอร์ส 4 เล่ม 9,169,0,0,0,เล่ม,
1,AC090,โปแทสเซียม ไอโอไดด์ (100 กรัม) ,1145.83,0,0,0,กระป๋อง,
1,#FNM0523,โป้งจ๋า,125,0,0,0,เล่ม,
